Ref,Val,Package,PosX,PosY,Rot,Side
"R12","10K","R_0805_2012Metric",151.450000,-118.700000,180.000000,top
"R13","10K","R_0805_2012Metric",147.650000,-123.000000,0.000000,top
"R14","10k","R_0805_2012Metric",108.250000,-63.750000,0.000000,top
"R15","110k","R_0805_2012Metric",100.000000,-58.950000,-90.000000,top
"R16","6.8k","R_0805_2012Metric",100.000000,-62.400000,-90.000000,top
"R17","11K","R_0805_2012Metric",93.800000,-59.000000,-90.000000,top
"R18","10K","R_0805_2012Metric",93.800000,-62.500000,-90.000000,top
"R19","33K","R_0805_2012Metric",96.700000,-62.600000,-90.000000,top
"R20","11K","R_0805_2012Metric",108.200000,-67.200000,0.000000,top
"R21","10K","R_0805_2012Metric",111.000000,-71.200000,0.000000,top
"R22","33K","R_0805_2012Metric",107.700000,-74.300000,-90.000000,top
"R23","10K","R_0805_2012Metric",139.375000,-87.050000,-90.000000,top
"R24","36.1K","R_0805_2012Metric",139.375000,-83.550000,-90.000000,top
"R25","2.32K","R_0805_2012Metric",153.100000,-89.850000,-90.000000,top
"R26","2.2K","R_0805_2012Metric",142.550000,-81.437500,0.000000,top
"R27","1K","R_0805_2012Metric",142.550000,-83.437500,180.000000,top
"R28","487","R_0805_2012Metric",147.900000,-89.850000,-90.000000,top
"R29","715","R_0805_2012Metric",123.625000,-85.450000,90.000000,top
"R30","20.5K","R_0805_2012Metric",116.275000,-85.975000,-90.000000,top
"R31","10K","R_0805_2012Metric",116.275000,-89.450000,-90.000000,top
"R32","680","R_0805_2012Metric",123.475000,-88.550000,0.000000,top
"SW1","SW_Push","SW_PUSH_6mm_H7.3mm",119.300000,-106.250000,0.000000,top
"SW2","SW_Push","SW_PUSH_6mm_H7.3mm",119.300000,-97.050000,0.000000,top
"SW3","SW_DPDT_x2","SW_CuK_JS202011CQN_DPDT_Straight",99.500000,-76.500000,90.000000,top
"SW4","SW_DPDT_x2","SW_CuK_JS202011CQN_DPDT_Straight",99.500000,-119.300000,90.000000,top
"SW5","SW_DPDT_x2","SW_CuK_JS202011CQN_DPDT_Straight",99.500000,-86.400000,90.000000,top
"SW6","SW_DPDT_x2","SW_CuK_JS202011CQN_DPDT_Straight",99.500000,-129.200000,90.000000,top
"SW8","SW_DPDT_x2","SW_CuK_JS202011CQN_DPDT_Straight",99.500000,-97.900000,90.000000,top
"SW10","SW_DPDT_x2","SW_CuK_JS202011CQN_DPDT_Straight",99.500000,-107.800000,90.000000,top
"TP1","SCL","TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded",160.200000,-87.400000,0.000000,top
"TP2","SDA","TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded",158.150000,-91.550000,0.000000,top
"TP3","Power","TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded",146.300000,-59.200000,0.000000,top
"TP4","3.3V","TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded",131.200000,-85.700000,0.000000,top
"TP5","5V","TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded",140.300000,-108.100000,0.000000,top
"U1","TVS2200DRV","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",113.000000,-57.500000,180.000000,top
